"logFC","logCPM","F","PValue","Gene","padj","abs_logFC"
1.26451345852126,-1.884779622283,11.7243785408771,0.00280115798470701,"ENSG00000146192.15",0.0110989746327823,1.26451345852126
1.26435930587834,-2.03533134702415,10.4907551530071,0.00426223508886068,"ENSG00000259583.3",0.0158660154162096,1.26435930587834
1.25774994309956,-1.19638281151992,15.2529638916764,0.000930159699918431,"ENSG00000184270.6",0.00442041915262536,1.25774994309956
1.25624790958782,-0.653276008360644,28.130469392363,3.87298395120079e-05,"ENSG00000189410.12",0.000301190958707196,1.25624790958782
1.25341246345318,4.82077551705522,177.08660153594,3.64528128730825e-11,"ENSG00000224411.3",2.08491455608282e-09,1.25341246345318
1.25290544558543,-1.10300420630595,23.2763236447869,0.000113555427641541,"ENSG00000260466.1",0.000760235327464049,1.25290544558543
1.25211796857611,10.2800388230159,259.478574606615,1.22942625407062e-12,"ENSG00000080824.19",1.13449426806043e-10,1.25211796857611
1.24913575692029,-1.93338790275909,6.81452894303506,0.017071081204786,"ENSG00000257883.1",0.0496759583433159,1.24913575692029
1.24823481078833,-1.56530619345994,11.3480282460319,0.00317718979523816,"ENSG00000284654.1",0.012348686868075,1.24823481078833
1.24355950905738,5.83137560694378,1305.77645054124,3.60400009190786e-19,"ENSG00000177732.9",2.08125192404305e-16,1.24355950905738
1.2414229075414,-1.98341100450023,10.6534033871495,0.00402810035047954,"ENSG00000125845.7",0.0151017910940911,1.2414229075414
1.23990810918138,3.55892462503578,496.643078626806,3.21804867343708e-15,"ENSG00000197852.12",6.54653492634893e-13,1.23990810918138
1.23781932041649,0.298765699255598,48.1541275413967,1.19898246970433e-06,"ENSG00000104783.14",1.59466450019664e-05,1.23781932041649
1.23691913060704,-1.02855688934216,19.3509425181383,0.000299497201239224,"ENSG00000241111.1",0.00171809964895125,1.23691913060704
1.22706809320975,6.28206591696327,1501.46441775234,9.553092743207e-20,"ENSG00000115758.13",6.57767178034199e-17,1.22706809320975
1.22419640998248,3.92398788169241,628.168147387116,3.5977027874163e-16,"ENSG00000183742.13",1.05583730000536e-13,1.22419640998248
1.22319992780597,-1.21803994831269,11.8485990547483,0.00268812614142413,"ENSG00000186832.9",0.0107351716344584,1.22319992780597
1.222205616148,-0.668412261778489,30.1507222351171,2.56005809804019e-05,"ENSG00000271659.1",0.000214059598650703,1.222205616148
1.21625466454256,-1.61341930841932,13.346647444611,0.00165943083375266,"ENSG00000238260.1",0.00713770561889479,1.21625466454256
1.21375771551447,4.44508833543184,509.483786549672,2.53837820121272e-15,"ENSG00000099889.14",5.54171299489148e-13,1.21375771551447
1.21307350414928,0.95899418209136,64.7650927575305,1.38944329644565e-07,"ENSG00000261226.1",2.5150469052548e-06,1.21307350414928
1.21290334711949,-2.24899106322097,8.27621098351012,0.00956465526569355,"ENSG00000124003.13",0.0308794334655448,1.21290334711949
1.21183749877256,0.448680401927373,66.4630998702121,1.14292497174168e-07,"ENSG00000218358.2",2.14247569048371e-06,1.21183749877256
1.21018203501024,0.0209016160790847,50.1009842714728,9.06957700268825e-07,"ENSG00000166828.3",1.24895051924712e-05,1.21018203501024
1.2081298753346,-0.376627869887811,35.9209857401868,8.59121928876321e-06,"ENSG00000113070.8",8.51134519686989e-05,1.2081298753346
1.20762018414928,-2.15984138189699,9.87181385716783,0.0053025607533335,"ENSG00000185668.8",0.0189549605843004,1.20762018414928
1.20751334211751,2.06633976613224,208.420607797951,8.69806695049943e-12,"ENSG00000101695.9",6.03537963363724e-10,1.20751334211751
